date,week,python_mastery,ml_mastery,hours,quizzes
2025-04-26 00:54:47.200951,1,0.379901424590337,0.1419488016331181,3.32596355974772,8
2025-05-03 00:54:47.200951,2,0.39075349555520145,0.20751714716838623,3.7019824398388543,6
2025-05-10 00:54:47.200951,3,0.4251841516982222,0.21711223042624822,3.373721659370397,6
2025-05-17 00:54:47.200951,4,0.485875047390463,0.19538090255757123,3.445664537803767,7
2025-05-24 00:54:47.200951,5,0.4938504461487629,0.23005724992066692,4.577985999405389,8
2025-05-31 00:54:47.200951,6,0.5018263374402875,0.20343194042153626,4.793894847870883,8
2025-06-07 00:54:47.200951,7,0.5642027219055092,0.21969784827167893,4.3156966497413976,9
2025-06-14 00:54:47.200951,8,0.6022257637800965,0.17090774455528568,4.821166973952158,8
2025-06-21 00:54:47.200951,9,0.6031415322020479,0.14106216308833278,4.413429098394959,7
2025-06-28 00:54:47.200951,10,0.6344183335096268,0.15696800016440648,4.051599123719537,8
2025-07-05 00:54:47.200951,11,0.635515802725253,0.1891219975642688,4.654611203622773,9
2025-07-12 00:54:47.200951,12,0.6365439101181453,0.20426304599996795,5.2914391515873245,9
2025-07-19 00:54:47.200951,13,0.6588027782651263,0.21079359752832075,4.590876107825365,9
2025-07-26 00:54:47.200951,14,0.6164043709253925,0.2117604866606421,5.266816400665107,10
2025-08-02 00:54:47.200951,15,0.5796568359500015,0.1774048269496193,2.96131243665399,9
2025-08-09 00:54:47.200951,16,0.5777882100727724,0.16580950069777803,4.641744384499264,7
2025-08-16 00:54:47.200951,17,0.5624032764627397,0.1619903375689844,4.216704376214258,7
2025-08-23 00:54:47.200951,18,0.5868306964405979,0.2037040043555519,4.222100427155516,9
2025-08-30 00:54:47.200951,19,0.5745899741749616,0.22401255304260573,4.441687969920453,8
2025-09-06 00:54:47.200951,20,0.5472208631349029,0.18112134838172372,3.1912421772494337,7
2025-09-13 00:54:47.200951,21,0.6061903262025495,0.20084386746356758,4.311266637079596,9
2025-09-20 00:54:47.200951,22,0.6144170371879535,0.1992913990510781,4.619681594472968,8
2025-09-27 00:54:47.200951,23,0.6314428833285912,0.18898373904189936,5.20022688948223,10
2025-10-04 00:54:47.200951,24,0.6037004377421875,0.2173340277071254,4.203968287211115,10
2025-10-11 00:54:47.200951,25,0.602368956006432,0.25826401338200394,4.177652106718714,10
2025-10-18 00:54:47.200951,26,0.620696633697728,0.29620241695548993,4.499818630167386,11
2025-10-25 00:54:47.200951,27,0.6011668263750589,0.2810258912588108,5.1042792117526465,9
2025-11-01 00:54:47.200951,28,0.6274377669254291,0.28174951998327435,4.891937415555953,10
2025-11-08 00:54:47.200951,29,0.6244186062278649,0.3016874229253813,4.5134379855762194,9
2025-11-15 00:54:47.200951,30,0.6306677937340667,0.3409537767390521,5.171498427976035,10
